CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Scored Labels,Scored Probabilities,scoring_id,scoring_timestamp
no_checking,25,credits_paid_to_date,other,4662,less_100,greater_7,4,male,none,3,real_estate,39,none,rent,2,skilled,2,none,yes,No Risk,0.82|0.18,60c314dd-1976-48ea-8364-9009b6d4f78c,04/11/20 7:38
0_to_200,20,prior_payments_delayed,furniture,6467,less_100,less_1,3,female,none,3,real_estate,32,none,own,1,unskilled,2,none,yes,No Risk,0.84|0.16,5a7cce1d-53f9-4b32-9a71-bb1a75f47bef,04/11/20 7:38
greater_200,12,credits_paid_to_date,repairs,11865,less_100,greater_7,3,male_random,none,3,savings_insurance,19,none,own,1,unskilled,1,none,yes,No Risk,0.75|0.25,c02afcf8-f09b-4114-a46c-55dc704a76b7,04/11/20 7:38
no_checking,9,credits_paid_to_date,furniture,8749,100_to_500,less_1,3,male,none,2,savings_insurance,37,stores,rent,1,management_self-employed,1,none,yes,No Risk,0.71|0.29,92de41a5-ce46-438f-8993-83cde34d3b2f,04/11/20 7:38
less_0,16,credits_paid_to_date,car_used,7290,less_100,greater_7,4,male,none,2,savings_insurance,36,stores,own,1,management_self-employed,1,none,yes,No Risk,0.71|0.29,6de18da9-db58-4624-b8f8-29347e52e50c,04/11/20 7:38
no_checking,10,prior_payments_delayed,car_new,7838,500_to_1000,4_to_7,4,female,none,1,savings_insurance_random,37,bank,own,1,skilled,1,yes,yes,No Risk,0.66|0.34,55b6d019-dc1b-4c50-9185-d9e8e5db1828,04/11/20 7:38
no_checking,14,prior_payments_delayed,car_used,9750,100_to_500,4_to_7,3,male,none,4,savings_insurance,21,none,free,1,management_self-employed,1,none,yes,No Risk,0.68|0.32,7756a100-d4f5-4d0a-91f4-089b7e106b46,04/11/20 7:38
no_checking,33,prior_payments_delayed,repairs,11655,greater_1000,4_to_7,3,male,co-applicant,3,unknown,31,stores,rent,2,skilled,1,none,yes_random,Risk,0.42|0.58,b5600876-1009-4c49-92f3-094ed18aea4b,04/11/20 7:38
less_0,47,prior_payments_delayed,radio_tv,4375,less_100_random,1_to_4,3,male,none,3,savings_insurance,35,none,rent,2,skilled,1,yes,yes,Risk,0.43|0.57,3a459c68-7bf6-4c59-88e2-c86ddeac48f4,04/11/20 7:38
no_checking,27,outstanding_credit,appliances,9107,unknown,4_to_7,3,male,none,3,savings_insurance,40,stores,free,1,skilled,2,none,yes,No Risk,0.65|0.35,71a4f2de-aecd-4cd5-a9d7-beca5f8fd8c1,04/11/20 7:38
