scoring_id,scoring_timestamp,deployment_id,asset_revision,CRIM,ZN,INDUS,CHAS,RM,AGE,DIS,RAD,TAX,PTRATIO,Bk,LSTAT,NOX,$R-MEDV
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-1,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.006,18.0,2.31,0,6.575,65.2,4.09,1,296,15.3,1.26,4.98,0.601,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-2,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.027,0.0,7.07,0,6.421,78.9,4.967,2,242,17.8,1.26,9.14,0.332,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-3,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.027,0.0,7.07,0,7.185,61.1,4.967,2,242,17.8,1.257,4.03,0.463,31.444
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-4,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.032,0.0,2.18,0,6.998,45.8,6.062,3,222,18.7,1.258,2.94,0.447,31.444
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-5,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.069,0.0,2.18,0,7.147,54.2,6.062,3,222,18.7,1.26,5.33,0.471,31.444
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-6,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.03,0.0,2.18,0,6.43,58.7,6.062,3,222,18.7,1.258,5.21,0.383,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-7,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.088,12.5,7.87,0,6.012,66.6,5.561,5,311,15.2,1.259,12.43,0.504,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-8,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.145,12.5,7.87,0,6.172,96.1,5.95,5,311,15.2,1.26,19.15,0.552,15.6
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-9,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.211,12.5,7.87,0,5.631,100.0,6.082,5,311,15.2,1.252,29.93,0.614,10.9393939393939
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-10,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.17,12.5,7.87,0,6.004,85.9,6.592,5,311,15.2,1.252,17.1,0.363,17.3235294117647
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-11,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.225,12.5,7.87,0,6.377,94.3,6.347,5,311,15.2,1.256,20.45,0.49,15.6
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-12,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.117,12.5,7.87,0,6.009,82.9,6.227,5,311,15.2,1.26,13.27,0.452,22.5661538461539
